2026-07-24T09:03:34.490168017Z [inf]  
2026-07-24T09:03:34.490173549Z [inf]  > umakraft@1.0.0 start
2026-07-24T09:03:34.490178069Z [inf]  > node Distribution/Discord/index.js
2026-07-24T09:03:34.490182473Z [inf]  
2026-07-24T09:03:35.023774302Z [inf]  Starting Container
2026-07-24T09:03:35.571527011Z [inf]  [startup] Checking required environment variables...
2026-07-24T09:03:35.571531833Z [inf]  [startup] Environment OK — DISCORD_TOKEN and DISCORD_CLIENT_ID present
2026-07-24T09:03:35.571536169Z [inf]  [startup] Creating Discord client...
2026-07-24T09:03:35.571540259Z [inf]  [startup] Loading command handlers...
2026-07-24T09:03:35.571544349Z [inf]  [startup] Health server listening on 0.0.0.0:3000
2026-07-24T09:03:35.571549082Z [inf]  [startup] Loaded command: admin_setjoindate (adminSetJoinDate.js)
2026-07-24T09:03:35.571553298Z [inf]  [startup] Loaded command: admin_sync (adminSync.js)
2026-07-24T09:03:35.571557213Z [inf]  [startup] Loaded command: admin_synccards (adminSyncCards.js)
2026-07-24T09:03:35.571561531Z [inf]  [startup] Loaded command: ai (ai.js)
2026-07-24T09:03:35.571565823Z [inf]  [startup] Loaded command: ask (ask.js)
2026-07-24T09:03:35.571569640Z [inf]  [startup] Loaded command: circle_master (circleMaster.js)
2026-07-24T09:03:35.571573507Z [inf]  [startup] Loaded command: circle_status (circleStatus.js)
2026-07-24T09:03:35.571577665Z [inf]  [startup] Loaded command: club_gain (clubGain.js)
2026-07-24T09:03:35.571581574Z [inf]  [startup] Loaded command: deadletter_inspect (deadLetterInspect.js)
2026-07-24T09:03:35.571587569Z [inf]  [startup] Loaded command: deadletter_replay (deadLetterReplay.js)
2026-07-24T09:03:35.571591817Z [inf]  [startup] Loaded command: fan_gain (fanGain.js)
2026-07-24T09:03:35.571595817Z [inf]  [startup] Loaded command: help (help.js)
2026-07-24T09:03:35.571600168Z [inf]  [startup] Loaded command: intercircleleaderboard (interCircleLeaderboard.js)
2026-07-24T09:03:35.571609261Z [inf]  [startup] Loaded command: joindate (joinDate.js)
2026-07-24T09:03:35.571613527Z [inf]  [startup] Loaded command: keep (keep.js)
2026-07-24T09:03:35.571617604Z [inf]  [startup] Loaded command: leaderboard (leaderboard.js)
2026-07-24T09:03:35.571621486Z [inf]  [startup] Loaded command: link (link.js)
2026-07-24T09:03:35.573369863Z [inf]  [startup] Loaded command: memberlist (memberList.js)
2026-07-24T09:03:35.573379798Z [inf]  [startup] Registered event: interactionCreate (interactionCreate.js)
2026-07-24T09:03:35.573383096Z [inf]  [startup] Loaded command: profile (profile.js)
2026-07-24T09:03:35.573389660Z [inf]  [startup] Loaded command: search_trainer (searchTrainer.js)
2026-07-24T09:03:35.573398663Z [inf]  [startup] Registered event: clientReady (ready.js)
2026-07-24T09:03:35.573410736Z [inf]  [startup] Loaded command: total_circlefan_gain (totalCircleFanGain.js)
2026-07-24T09:03:35.573420789Z [inf]  [startup] Loaded command: warningsettings (warningSettings.js)
2026-07-24T09:03:35.573421175Z [inf]  [startup] Loaded command: total_fan (totalFan.js)
2026-07-24T09:03:35.573431597Z [inf]  [startup] Loaded command: unlink (unlink.js)
2026-07-24T09:03:35.573437682Z [inf]  [startup] Loaded 32 command handler(s)
2026-07-24T09:03:35.573448308Z [inf]  [startup] Loading event handlers...
2026-07-24T09:03:35.573452152Z [inf]  [startup] Loaded command: store (store.js)
