2026-07-22T10:28:28.450833437Z [inf]  unpacking archive
2026-07-22T10:28:28.518954039Z [inf]  uploading snapshot
2026-07-22T10:28:28.648024166Z [inf]  [internal] load build definition from Dockerfile
2026-07-22T10:28:28.648102954Z [inf]  [internal] load build definition from Dockerfile
2026-07-22T10:28:28.648338417Z [inf]  [internal] load build definition from Dockerfile
2026-07-22T10:28:28.716283565Z [inf]  [internal] load build definition from Dockerfile
2026-07-22T10:28:28.738474341Z [inf]  [internal] load metadata for docker.io/library/node:20-slim
2026-07-22T10:28:28.881811808Z [inf]  [internal] load metadata for docker.io/library/node:20-slim
2026-07-22T10:28:28.882672460Z [inf]  [internal] load .dockerignore
2026-07-22T10:28:28.882976817Z [inf]  [internal] load .dockerignore
2026-07-22T10:28:28.883012691Z [inf]  [internal] load .dockerignore
2026-07-22T10:28:28.947973909Z [inf]  [internal] load .dockerignore
2026-07-22T10:28:28.967842909Z [inf]  [6/6] COPY . .
2026-07-22T10:28:28.967844592Z [inf]  [5/6] RUN npm install --omit=dev --registry https://registry.npmjs.org
2026-07-22T10:28:28.967845132Z [inf]  [4/6] COPY package.json ./
2026-07-22T10:28:28.967845613Z [inf]  [internal] load build context
2026-07-22T10:28:28.967846224Z [inf]  [3/6] WORKDIR /app
2026-07-22T10:28:28.967846715Z [inf]  [2/6] RUN apt-get update && apt-get install -y --no-install-recommends     chromium     fonts-liberation     fonts-noto     fonts-noto-cjk     fonts-noto-color-emoji     libasound2     libatk-bridge2.0-0     libatk1.0-0     libcups2     libdbus-1-3     libdrm2     libgbm1     libgtk-3-0     libnspr4     libnss3     libx11-xcb1     libxcomposite1     libxdamage1     libxfixes3     libxrandr2     libxss1     libxtst6     xdg-utils     && rm -rf /var/lib/apt/lists/*
2026-07-22T10:28:28.967847196Z [inf]  [1/6] FROM docker.io/library/node:20-slim@sha256:2cf067cfed83d5ea958367df9f966191a942351a2df77d6f0193e162b5febfc0
2026-07-22T10:28:28.968378263Z [inf]  [1/6] FROM docker.io/library/node:20-slim@sha256:2cf067cfed83d5ea958367df9f966191a942351a2df77d6f0193e162b5febfc0
2026-07-22T10:28:28.968389009Z [inf]  [internal] load build context
2026-07-22T10:28:28.968777292Z [inf]  [internal] load build context
2026-07-22T10:28:28.981414334Z [inf]  [1/6] FROM docker.io/library/node:20-slim@sha256:2cf067cfed83d5ea958367df9f966191a942351a2df77d6f0193e162b5febfc0
2026-07-22T10:28:29.087201355Z [inf]  [internal] load build context
2026-07-22T10:28:29.103590120Z [inf]  [2/6] RUN apt-get update && apt-get install -y --no-install-recommends     chromium     fonts-liberation     fonts-noto     fonts-noto-cjk     fonts-noto-color-emoji     libasound2     libatk-bridge2.0-0     libatk1.0-0     libcups2     libdbus-1-3     libdrm2     libgbm1     libgtk-3-0     libnspr4     libnss3     libx11-xcb1     libxcomposite1     libxdamage1     libxfixes3     libxrandr2     libxss1     libxtst6     xdg-utils     && rm -rf /var/lib/apt/lists/*
2026-07-22T10:28:29.103591933Z [inf]  [3/6] WORKDIR /app
2026-07-22T10:28:29.103592604Z [inf]  [4/6] COPY package.json ./
2026-07-22T10:28:29.103593135Z [inf]  [5/6] RUN npm install --omit=dev --registry https://registry.npmjs.org
2026-07-22T10:28:29.103593676Z [inf]  [6/6] COPY . .
2026-07-22T10:28:29.105492376Z [inf]  exporting to docker image format
2026-07-22T10:28:31.283427805Z [inf]  exporting to docker image format
2026-07-22T10:28:31.484602945Z [inf]  containerimage.descriptor: eyJtZWRpYVR5cGUiOiJhcHBsaWNhdGlvbi92bmQub2NpLmltYWdlLm1hbmlmZXN0LnYxK2pzb24iLCJkaWdlc3QiOiJzaGEyNTY6ZWZmY2U3MGNlYjBiYjVkZmFhNTUwOTcyYTcwYWU4OWRhODE3YTAxYjg4NTE0NjNkNDRiM2YwZTQxNjMzMzJmNCIsInNpemUiOjIxOTcsImFubm90YXRpb25zIjp7Im9yZy5vcGVuY29udGFpbmVycy5pbWFnZS5jcmVhdGVkIjoiMjAyNi0wNy0yMlQxMDoyODoyOVoifSwicGxhdGZvcm0iOnsiYXJjaGl0ZWN0dXJlIjoiYW1kNjQiLCJvcyI6ImxpbnV4In19
2026-07-22T10:28:31.484607051Z [inf]  containerimage.config.digest: sha256:ddeab0470a58931d4bc97a31e5b63d501779a1b8eaace206687d83f26b3e97b7
2026-07-22T10:28:31.484609845Z [inf]  containerimage.digest: sha256:effce70ceb0bb5dfaa550972a70ae89da817a01b8851463d44b3f0e4163332f4
2026-07-22T10:28:34.657707460Z [inf]  image push
2026-07-22T10:28:44.394669564Z [inf]  scheduling build on Metal builder "builder-zteqqo"
